,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,Est. Payroll,Year,yearID,lgID,franchID,divID,Rank,G,Ghome,W,L,Covered,RoofType
173,SEA,1896321,23411,29.3,26.8,90,92,86110600,2011,2011,AL,SEA,W,4,162,84,67,95,True,Retractable
174,SFG,3387303,41819,30.2,28.5,92,91,124198333,2011,2011,NL,SFG,W,2,162,81,86,76,False,Open
175,STL,3093954,38197,29.3,30.2,98,97,105433572,2011,2011,NL,STL,C,2,162,81,90,72,False,Open
176,TBD,1529188,18879,28.2,27.8,93,92,41053571,2011,2011,AL,TBD,E,2,162,81,91,71,True,Fixed
177,TEX,2946949,36382,29.1,28.8,109,108,93799264,2011,2011,AL,TEX,W,1,162,81,96,66,False,Open
178,TOR,1818103,22446,28.3,27.6,104,104,64567800,2011,2011,AL,TOR,E,4,162,81,81,81,True,Retractable
179,WSN,1940478,24256,28.4,27.6,100,100,68492928,2011,2011,NL,WSN,E,3,161,80,80,81,False,Open
180,ARI,2177617,26884,28.3,27.4,103,103,67069833,2012,2012,NL,ARI,W,3,162,81,81,81,True,Retractable
181,ATL,2420171,29879,28.5,27.6,102,101,86208000,2012,2012,NL,ATL,E,2,162,81,94,68,False,Open
182,BAL,2102240,25954,28.0,27.6,102,103,77949000,2012,2012,AL,BAL,E,2,162,81,93,69,False,Open
183,BOS,3043003,37568,29.4,28.7,104,103,110386000,2012,2012,AL,BOS,E,5,162,81,69,93,False,Open
184,CHC,2882756,35590,27.8,27.9,101,103,86159366,2012,2012,NL,CHC,C,5,162,81,61,101,False,Open
185,CHW,1965955,24271,30.0,27.5,104,104,118208000,2012,2012,AL,CHW,C,2,162,81,85,77,False,Open
186,CIN,2347251,28978,28.8,27.1,104,104,80309500,2012,2012,NL,CIN,C,1,162,81,97,65,False,Open
187,CLE,1603596,19797,27.8,27.6,94,95,78911300,2012,2012,AL,CLE,C,4,162,81,68,94,False,Open
188,COL,2630458,32475,28.1,28.2,117,117,75485000,2012,2012,NL,COL,W,5,162,81,64,98,False,Open
189,DET,3028033,37383,27.9,28.2,105,104,131394000,2012,2012,AL,DET,C,1,162,81,88,74,False,Open
190,HOU,1607733,19849,26.6,27.2,100,102,37651000,2012,2012,NL,HOU,C,6,162,81,55,107,True,Retractable
191,KCR,1739859,21480,26.1,27.3,102,102,61747075,2012,2012,AL,KCR,C,3,162,81,72,90,False,Open
192,ANA,3061770,37800,28.7,30.1,94,93,141073500,2012,2012,AL,ANA,W,3,162,81,89,73,False,Open
193,LAD,3324246,41040,30.4,29.0,96,96,177033600,2012,2012,NL,LAD,W,2,162,81,86,76,False,Open
194,FLA,2219444,27401,28.3,28.8,102,103,107678000,2012,2012,NL,FLA,E,5,162,81,69,93,True,Retractable
195,MIL,2831385,34955,29.2,29.0,105,104,95717000,2012,2012,NL,MIL,C,3,162,81,83,79,True,Retractable
196,MIN,2776354,34276,28.9,27.8,98,100,99066000,2012,2012,AL,MIN,C,5,162,81,66,96,False,Open
197,NYM,2242803,27689,27.9,30.3,95,96,91621424,2012,2012,NL,NYM,E,4,162,81,74,88,False,Open
198,NYY,3542406,43733,32.9,30.3,104,103,197977900,2012,2012,AL,NYY,E,1,162,81,95,67,False,Open
